order,pollutant,station,timing,type,value
248.0,NO2,all,years,air,19.680388333333322
249.0,NO2,all,years,air,20.141985416666667
250.0,NO2,all,years,air,14.226876458333335
251.0,NO2,all,years,air,20.185267916666653
252.0,NO2,all,years,air,18.34174562499999
253.0,NO2,all,years,air,15.780562083333331
254.0,NO2,all,years,air,19.78464208333331
255.0,NO2,all,years,air,23.32569375000003
256.0,NO2,all,years,air,22.38997916666669
257.0,NO2,all,years,air,17.41311937500001
258.0,NO2,all,years,air,18.766654791666653
259.0,NO2,all,years,air,19.287795625000005
260.0,NO2,all,years,air,21.44207791666664
261.0,NO2,all,years,air,23.226178541666652
262.0,NO2,all,years,air,21.871868958333327
263.0,NO2,all,years,air,18.39976985138005
264.0,NO2,all,years,air,17.832764425162676
265.0,NO2,all,years,air,18.184294166666646
266.0,NO2,all,years,air,17.41341416666665
267.0,NO2,all,years,air,20.863010855949895
268.0,NO2,all,years,air,20.86923520833332
269.0,NO2,all,years,air,20.162612708333334
270.0,NO2,all,years,air,18.98245208333332
271.0,NO2,all,years,air,17.127833125000016
272.0,NO2,all,years,air,17.342303750000017
273.0,NO2,all,years,air,12.330336116910225
274.0,NO2,all,years,air,18.477030480167006
275.0,NO2,all,years,air,19.645766458333306
276.0,NO2,all,years,air,18.925498541666666
277.0,NO2,all,years,air,19.8522295833333
278.0,NO2,all,years,air,0.0
279.0,NO2,all,years,air,14.79369875
280.0,NO2,all,years,air,17.084174791666648
281.0,NO2,all,years,air,20.88721166666668
282.0,NO2,all,years,air,23.766161458333315
283.0,NO2,all,years,air,21.413342500000013
284.0,NO2,all,years,air,21.748084375000005
285.0,NO2,all,years,air,22.135281458333342
286.0,NO2,all,years,air,22.18915624999996
287.0,NO2,all,years,air,17.184102916666678
288.0,NO2,all,years,air,25.009988541666644
289.0,NO2,all,years,air,26.749417499999925
290.0,NO2,all,years,air,24.817440833333304
291.0,NO2,all,years,air,17.83475833333333
292.0,NO2,all,years,air,16.254182083333323
293.0,NO2,all,years,air,15.523249999999978
294.0,NO2,all,years,air,18.104611249999987
295.0,NO2,all,years,air,22.40947041666667
296.0,NO2,all,years,air,24.04176249999998
297.0,NO2,all,years,air,19.174807916666676
298.0,NO2,all,years,air,19.806076249999993
299.0,NO2,all,years,air,19.87434749999998
300.0,NO2,all,years,air,18.23792166666665
301.0,NO2,all,years,air,26.750832083333353
302.0,NO2,all,years,air,24.036296250000024
303.0,NO2,all,years,air,19.257378541666665
304.0,NO2,all,years,air,13.198893982808004
305.0,NO2,all,years,air,10.347887832699605
306.0,NO2,all,years,air,11.677691443850241
307.0,NO2,all,years,air,14.937917499999976
308.0,NO2,all,years,air,19.920418333333316
309.0,NO2,all,years,air,17.752846874999985
310.0,NO2,all,years,air,15.191375657894735
311.0,NO2,all,years,air,26.236101754385963
312.0,NO2,all,years,air,23.53698707865165
313.0,NO2,all,years,air,21.45184958333331
314.0,NO2,all,years,air,21.75251041666664
315.0,NO2,all,years,air,14.432674166666642
316.0,NO2,all,years,air,16.06273342391303
317.0,NO2,all,years,air,17.55849424307038
318.0,NO2,all,years,air,25.770698541666683
319.0,NO2,all,years,air,25.263254166666652
320.0,NO2,all,years,air,28.826937569060735
321.0,NO2,all,years,air,26.986325416666638
322.0,NO2,all,years,air,17.207467916666637
323.0,NO2,all,years,air,12.647650416666654
324.0,NO2,all,years,air,18.80769249999998
325.0,NO2,all,years,air,26.08346083333331
326.0,NO2,all,years,air,24.39659874999996
327.0,NO2,all,years,air,28.084688749999962
328.0,NO2,all,years,air,23.50472624999996
329.0,NO2,all,years,air,10.020839999999987
330.0,NO2,all,years,air,8.277140416666665
331.0,NO2,all,years,air,18.834466578947335
332.0,NO2,all,years,air,22.4114277083333
333.0,NO2,all,years,air,24.01940083333331
334.0,NO2,all,years,air,27.606757708333326
335.0,NO2,all,years,air,25.116585
336.0,NO2,all,years,air,20.938961891117458
337.0,NO2,all,years,air,16.008749476439785
338.0,NO2,all,years,air,26.93890208333331
339.0,NO2,all,years,air,0.0
340.0,NO2,all,years,air,0.0
341.0,NO2,all,years,air,12.428270386266092
342.0,NO2,all,years,air,18.94880508474574
343.0,NO2,all,years,air,16.73607675544792
344.0,NO2,all,years,air,20.915050833333314
345.0,NO2,all,years,air,27.503430833333265
346.0,NO2,all,years,air,22.02207062499999
347.0,NO2,all,years,air,20.758419517543864
348.0,NO2,all,years,air,23.81040791139237
349.0,NO2,all,years,air,16.298035534591172
350.0,NO2,all,years,air,16.171967708333312
351.0,NO2,all,years,air,18.831667187499978
352.0,NO2,all,years,air,18.039277102803727
353.0,NO2,all,years,air,24.101121666666653
354.0,NO2,all,years,air,22.05640229357795
355.0,NO2,all,years,air,21.494553645833303
356.0,NO2,all,years,air,29.25061723237596
357.0,NO2,all,years,air,20.95886145833335
358.0,NO2,all,years,air,18.063557083333365
359.0,NO2,all,years,air,29.330777434679373
360.0,NO2,all,years,air,28.897587149532665
361.0,NO2,all,years,air,25.00713999999997
362.0,NO2,all,years,air,22.039384927536208
363.0,NO2,all,years,air,24.77912180851063
364.0,NO2,all,years,air,20.322178541666673
365.0,NO2,all,years,air,22.033582916666667
366.0,NO2,all,years,air,20.622425000000007
367.0,NO2,all,years,air,25.408546581196582
368.0,NO2,all,years,air,25.119618421052618
369.0,NO2,all,years,air,22.692128923076933
370.0,NO2,all,years,air,25.668386176470573
371.0,NO2,all,years,air,14.223086622806992
0.0,NO2,guildhall,weeks,air,12.998331720430112
1.0,NO2,guildhall,weeks,air,12.237314784946218
2.0,NO2,guildhall,weeks,air,10.446532631578917
3.0,NO2,guildhall,weeks,air,8.252098936170189
4.0,NO2,guildhall,weeks,air,7.041463829787219
5.0,NO2,guildhall,weeks,air,6.932953989361686
6.0,NO2,guildhall,weeks,air,8.007152659574444
7.0,NO2,guildhall,weeks,air,8.798371542553165
8.0,NO2,guildhall,weeks,air,9.945440425531874
9.0,NO2,guildhall,weeks,air,10.905522811671055
10.0,NO2,guildhall,weeks,air,11.06689265091861
11.0,NO2,guildhall,weeks,air,10.989102067183442
12.0,NO2,guildhall,weeks,air,10.71207731958759
13.0,NO2,guildhall,weeks,air,10.610445012787705
14.0,NO2,guildhall,weeks,air,11.341030357142836
15.0,NO2,guildhall,weeks,air,12.312195153061202
16.0,NO2,guildhall,weeks,air,13.748154591836716
